Data Type,Segments,Distance,Threshold,Segments Length,Accuracy,F1_Score,Precision,Recall
napierone,1,0,2.0,104,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,112,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,120,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,128,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,136,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,144,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,152,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,160,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,168,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,176,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,184,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,192,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,200,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,208,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,216,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,224,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,232,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,240,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,248,0.689119170984456,nan,nan,0.0
napierone,1,0,2.0,256,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,8,0.35578583765112265,0.4803566453050989,0.32056526589810336,0.9577777777777777
napierone,1,0,3.0,16,0.7191709844559585,0.6494178525226391,0.5306553911205074,0.8366666666666667
napierone,1,0,3.0,24,0.8511226252158894,0.7569091934574167,0.7686139747995419,0.7455555555555555
napierone,1,0,3.0,32,0.8825561312607945,0.781491002570694,0.926829268292683,0.6755555555555556
napierone,1,0,3.0,40,0.8504317789291883,0.6926898509581264,0.9587426326129665,0.5422222222222223
napierone,1,0,3.0,48,0.78860103626943,0.495049504950495,0.9615384615384616,0.3333333333333333
napierone,1,0,3.0,56,0.7419689119170985,0.2919431279620853,0.9935483870967742,0.1711111111111111
napierone,1,0,3.0,64,0.7084628670120898,0.11715481171548117,1.0,0.06222222222222222
napierone,1,0,3.0,72,0.694300518134715,0.03278688524590164,1.0,0.016666666666666666
napierone,1,0,3.0,80,0.690846286701209,0.011049723756906079,1.0,0.005555555555555556
napierone,1,0,3.0,88,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,96,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,104,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,112,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,120,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,128,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,136,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,144,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,152,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,160,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,168,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,176,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,184,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,192,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,200,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,208,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,216,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,224,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,232,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,240,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,248,0.689119170984456,nan,nan,0.0
napierone,1,0,3.0,256,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,8,0.3001727115716753,0.4597333333333334,0.3024561403508772,0.9577777777777777
napierone,1,0,4.0,16,0.6981001727115717,0.6591263650546022,0.5078125,0.9388888888888889
napierone,1,0,4.0,24,0.8393782383419689,0.7606793618116315,0.7085330776605945,0.8211111111111111
napierone,1,0,4.0,32,0.8991364421416235,0.8201970443349753,0.919889502762431,0.74
napierone,1,0,4.0,40,0.8756476683937824,0.7603195739014648,0.9485049833887044,0.6344444444444445
napierone,1,0,4.0,48,0.8355785837651123,0.6494845360824741,0.962882096069869,0.49
napierone,1,0,4.0,56,0.7747841105354059,0.43500866551126516,0.9881889763779528,0.2788888888888889
napierone,1,0,4.0,64,0.7333333333333333,0.2490272373540856,1.0,0.14222222222222222
napierone,1,0,4.0,72,0.7046632124352331,0.09523809523809523,1.0,0.05
napierone,1,0,4.0,80,0.6932642487046632,0.02631578947368421,1.0,0.013333333333333334
napierone,1,0,4.0,88,0.6894645941278066,0.0022197558268590455,1.0,0.0011111111111111111
napierone,1,0,4.0,96,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,104,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,112,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,120,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,128,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,136,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,144,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,152,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,160,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,168,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,176,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,184,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,192,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,200,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,208,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,216,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,224,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,232,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,240,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,248,0.689119170984456,nan,nan,0.0
napierone,1,0,4.0,256,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,8,0.2998272884283247,0.4596107704612104,0.3023500526131182,0.9577777777777777
napierone,1,0,5.0,16,0.6583765112262522,0.6346509050609531,0.47537354731599335,0.9544444444444444
napierone,1,0,5.0,24,0.8352331606217617,0.7594553706505295,0.6952908587257618,0.8366666666666667
napierone,1,0,5.0,32,0.9112262521588946,0.8476585655008891,0.9085133418043202,0.7944444444444444
napierone,1,0,5.0,40,0.894300518134715,0.806573957016435,0.9354838709677419,0.7088888888888889
napierone,1,0,5.0,48,0.8639032815198618,0.7275242047026279,0.9633699633699634,0.5844444444444444
napierone,1,0,5.0,56,0.8158894645941278,0.5819607843137256,0.9893333333333333,0.4122222222222222
napierone,1,0,5.0,64,0.7613126079447323,0.37691614066726786,1.0,0.23222222222222222
napierone,1,0,5.0,72,0.7212435233160622,0.18731117824773413,1.0,0.10333333333333333
napierone,1,0,5.0,80,0.6987910189982729,0.0603448275862069,1.0,0.03111111111111111
napierone,1,0,5.0,88,0.6915371329879102,0.015435501653803746,1.0,0.0077777777777777776
napierone,1,0,5.0,96,0.6894645941278066,0.0022197558268590455,1.0,0.0011111111111111111
napierone,1,0,5.0,104,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,112,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,120,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,128,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,136,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,144,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,152,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,160,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,168,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,176,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,184,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,192,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,200,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,208,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,216,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,224,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,232,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,240,0.689119170984456,nan,nan,0.0
napierone,1,0,5.0,248,0.689119170984456,nan,nan,0.0
